,speciesType,tissueType,UberonOntologyID,cancerType,cellType,cellName,CellOntologyID,cellMarker,geneSymbol,geneID,proteinName,proteinID,markerResource,PMID,Company
0,Human,Kidney,UBERON_0002113,Normal,Normal cell,Proximal tubular cell,,Intestinal Alkaline Phosphatase,ALPI,248,PPBI,P09923,Experiment,9263997,
1,Human,Liver,UBERON_0002107,Normal,Normal cell,Ito cell (hepatic stellate cell),CL_0000632,Synaptophysin,SYP,6855,SYPH,P08247,Experiment,10595912,
2,Human,Endometrium,UBERON_0001295,Normal,Normal cell,Trophoblast cell,CL_0000351,CEACAM1,CEACAM1,634,CEAM1,P13688,Experiment,10751340,
3,Human,Germ,UBERON_0000923,Normal,Normal cell,Primordial germ cell,CL_0000670,VASA,DDX4,54514,DDX4,Q9NQI0,Experiment,10920202,
4,Human,Corneal epithelium,UBERON_0001772,Normal,Normal cell,Epithelial cell,CL_0000066,KLF6,KLF6,1316,KLF6,Q99612,Experiment,12407152,
5,Human,Placenta,UBERON_0001987,Normal,Normal cell,Cytotrophoblast,CL_0000351,FGF10,FGF10,2255,FGF10,O15520,Experiment,15950061,
6,Human,Periosteum,UBERON_0002515,Normal,Normal cell,Periosteum-derived progenitor cell,,"CD166, CD45, CD9, CD90","ALCAM, PTPRC, CD9, THY1","214, 5788, 928, 7070","CD166, PTPRC, CD9, THY1","Q13740, P08575, P21926, P04216",Experiment,15977065,
7,Human,Amniotic membrane,UBERON_0009742,Normal,Normal cell,Amnion epithelial cell,CL_0002536,"NANOG, OCT3/4","NANOG, POU5F1","79923, 5460","NANOG, PO5F1","Q9H9S0, Q01860",Experiment,16081662,
8,Human,Primitive streak,UBERON_0004341,Normal,Normal cell,Primitive streak cell,,"LHX1, MIXL1","LHX1, MIXL1","3975, 83881","LHX1, MIXL1","P48742, Q9H2W2",Experiment,16258519,
9,Human,Adipose tissue,UBERON_0001013,Normal,Normal cell,Stromal vascular fraction cell,CL_0000499,CD34,CD34,947,CD34,P28906,Experiment,16322640,
10,Human,Scalp,UBERON_0000403,Normal,Normal cell,Bulge stem cell,CL_0002337,CD200,CD200,4345,OX2G,P41217,Experiment,16395407,
11,Human,Heart,UBERON_0000948,Normal,Normal cell,Semilunar valve cell,,MMP-13,MMP13,4322,MMP13,P45452,Experiment,16534030,
12,Human,Chorionic villus,UBERON_0007106,Normal,Normal cell,Villous stromal cell,,"NOV, CYR61","NOV, CYR61","4856, 3491","NOV, CYR61","P48745, O00622",Experiment,16675545,
13,Human,Liver,UBERON_0002107,Normal,Normal cell,Kupffer cell,CL_0000091,"CD11b, CD14, CD18, CD32, CD68","ITGAM, CD14, ITGB2, [FCGR2A, FCGR2B, FCGR2C], CD68","3684, 929, 3689, [2212, 2213, 9103], 968","ITAM, CD14, ITB2, [FCG2A, FCG2B, FCG2C], CD68","P11215, P08571, P05107, [P12318, P31994, P31995], P34810",Experiment,17692868,
14,Human,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stromal cell,CL_0000499,"CD144, CD31, CD34","CDH5, PECAM1, CD34","1003, 5175, 947","CADH5, PECA1, CD34","P33151, P16284, P28906",Experiment,17967785,
15,Human,Brain,UBERON_0000955,Normal,Normal cell,Oligodendrocyte,CL_0000128,NOGO,RTN4,57142,RTN4,Q9NQC3,Experiment,18515322,
16,Human,Amniotic fluid,UBERON_0000173,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,CD44,CD44,960,CD44,P16070,Experiment,28017358,
17,Human,Cartilage,UBERON_0002418,Normal,Normal cell,Cartilage progenitor cell,CL_0000138,"CD146, COL2","MCAM, COL2A1","4162, 1280","MUC18, COL2A1","P43121, P02458",Experiment,27130221,
18,Human,Bone,UBERON_0002481,Normal,Normal cell,Osteocyte,CL_0000137,"DMP1, E11, MEPE, PHEX, SOST","DMP1, NA, MEPE, PHEX, SOST","1758, NA, 56955, 5251, 50964","DMP1, NA, MEPE, PHEX, SOST","Q13316, NA, Q9NQ76, P78562, Q9BQB4",Experiment,27109824,
19,Human,Bone,UBERON_0002481,Normal,Normal cell,Osteoclast,CL_0000092,"CD56, RUNX2","NCAM1, RUNX2","4684, 860","NCAM1, RUNX2","P13591, Q13950",Experiment,26860863,
20,Human,Retina,UBERON_0000966,Normal,Normal cell,Bipolar cell,,"Aquaporin-0, Go-alpha, ISLET-1","MIP, GNAS, ISL1","4282, 2778, 3670","MIP, GNAS2, ISL1","P30301, P63092, P61371",Experiment,26769220,
21,Human,Retina,UBERON_0000966,Normal,Normal cell,Muller cell,CL_0011107,GS,GLUL,2752,GLNA,P15104,Experiment,26769220,
22,Human,Peripheral blood,UBERON_0005408,Normal,Normal cell,Monocyte,CL_0000576,"CD11b, CD16, CD19, CD2, CD3, CD56, CD94, NKG2A","ITGAM, [FCGR3A, FCGR3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, KLRC1","3684, [2214, 2215], 930, 914, [915, 916, 917], 4684, 3824, 3821","ITAM, [FCG3A, FCG3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, NKG2A","P11215, [P08637, O75015], P15391, P06729, [P04234, P07766, P09693], P13591, Q13241, P26715",Experiment,29610856,
23,Human,Blood,UBERON_0000178,Normal,Normal cell,Natural killer cell,CL_0000623,"CD11b, CD16, CD19, CD2, CD3, CD56, CD94, NKG2A","ITGAM, [FCGR3A, FCGR3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, KLRC1","3684, [2214, 2215], 930, 914, [915, 916, 917], 4684, 3824, 3821","ITAM, [FCG3A, FCG3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, NKG2A","P11215, [P08637, O75015], P15391, P06729, [P04234, P07766, P09693], P13591, Q13241, P26715",Experiment,29610856,
24,Human,Tongue,UBERON_0001723,Tongue Squamous Cell Carcinoma,Cancer cell,Cancer stem cell,,"BMI1, CD44, NANOG, OCT4","BMI1, CD44, NANOG, POU5F1","648, 960, 79923, 5460","BMI1, CD44, NANOG, PO5F1","P35226, P16070, Q9H9S0, Q01860",Experiment,29607565,
25,Human,Gingiva,UBERON_0001828,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,"CD105, CD166, CD29, CD44, CD49e, CD73, CD90","ENG, ALCAM, ITGB1, CD44, ITGA5, NT5E, THY1","2022, 214, 3688, 960, 3678, 4907, 7070","EGLN, CD166, ITB1, CD44, ITA5, 5NTD, THY1","P17813, Q13740, P05556, P16070, P08648, P21589, P04216",Experiment,29604386,
26,Human,Undefined,,Esophageal Adenocarcinoma,Cancer cell,Cancer stem cell,,"ALDH, ALDH1, CD44","ALDH family, ALDH1A1, CD44","ALDH family, 216, 960","ALDH family, AL1A1, CD44","ALDH family, P00352, P16070",Experiment,29600369,
27,Human,Undefined,,Glioblastoma,Cancer cell,Mesenchymal stem cell,CL_0000134,"CD105, CD14, CD31, CD34, CD44, CD73, CD90","ENG, CD14, PECAM1, CD34, CD44, NT5E, THY1","2022, 929, 5175, 947, 960, 4907, 7070","EGLN, CD14, PECA1, CD34, CD44, 5NTD, THY1","P17813, P08571, P16284, P28906, P16070, P21589, P04216",Experiment,29590646,
28,Human,Peripheral blood,UBERON_0005408,Normal,Normal cell,Monocyte,CL_0000576,"CD14, CD19, CD20, CD27, CD3, CD38, IgA, IgG","CD14, CD19, MS4A1, CD27, [CD3D, CD3E, CD3G], CD38, CD79A, IgG family","929, 930, 931, 939, [915, 916, 917], 952, 973, IgG family","CD14, CD19, CD20, CD27, [CD3D, CD3E, CD3G], CD38, CD79A, IgG family","P08571, P15391, P11836, P26842, [P04234, P07766, P09693], P28907, P11912, IgG family",Experiment,29579044,
29,Human,Uterus,UBERON_0000995,Normal,Normal cell,Endometrial stem cell,CL_0000034,"ICAM1, SUSD2","ICAM1, SUSD2","3383, 56241","ICAM1, SUSD2","P05362, Q9UGT4",Experiment,29575998,
30,Human,Liver,UBERON_0002107,Hepatocellular Cancer,Cancer cell,Cancer stem cell,,SOX9,SOX9,6662,SOX9,P48436,Experiment,27457505,
31,Human,Dental pulp,UBERON_0001754,Normal,Normal cell,Mesenchymal stem cell,CL_0000134,"CD105, STRO-1","ENG, NA","2022, NA","EGLN, NA","P17813, NA",Experiment,28781092,
32,Human,Breast,UBERON_0000310,Normal,Normal cell,Natural killer cell,CL_0000623,CD56,NCAM1,4684,NCAM1,P13591,Experiment,29090365,
33,Human,Dental pulp,UBERON_0001754,Normal,Normal cell,Dental pulp stem cell,CL_0000034,"CD105, CD29, CD44, CD73","ENG, ITGB1, CD44, NT5E","2022, 3688, 960, 4907","EGLN, ITB1, CD44, 5NTD","P17813, P05556, P16070, P21589",Experiment,24837475,
34,Human,Liver,UBERON_0002107,Liver Cancer,Cancer cell,Cancer stem cell,,KIAA1114,TRO,7216,TROP,Q12816,Experiment,24713374,
35,Human,Peripheral blood,UBERON_0005408,Normal,Normal cell,B cell,CL_0000236,"CD19, CD27, CD38, CD45, IgD, ZAP70","CD19, CD27, CD38, PTPRC, IgD family, ZAP70","930, 939, 952, 5788, IgD family, 7535","CD19, CD27, CD38, PTPRC, IgD family, ZAP70","P15391, P26842, P28907, P08575, IgD family, P43403",Experiment,25187226,
36,Human,Adipose tissue,UBERON_0001013,Normal,Normal cell,Adipose-derived stem cell,CL_0000034,"CD146, CD90, KLF4, NANOG, Nestin, OCT4, PDGFR, SOX2","MCAM, THY1, KLF4, NANOG, NES, POU5F1, PDGFRB, SOX2","4162, 7070, 9314, 79923, 10763, 5460, 5159, 6657","MUC18, THY1, KLF4, NANOG, NEST, PO5F1, PGFRB, SOX2","P43121, P04216, O43474, Q9H9S0, P48681, Q01860, P09619, P48431",Experiment,29214313,
37,Human,Adipose tissue,UBERON_0001013,Normal,Normal cell,Preadipocyte progenitor cell,,"CD34, PDGFR-alpha","CD34, PDGFRA","947, 5156","CD34, PGFRA","P28906, P16234",Experiment,28715395,
38,Human,Undefined,,Osteosarcoma,Cancer cell,Cancer stem cell,,CD271,NGFR,4804,TNR16,P08138,Experiment,24893164,
39,Human,Undefined,,Normal,Normal cell,Regulatory T (Treg) cell,CL_0000815,"CD49b, LAG3","ITGA2, LAG3","3673, 3902","ITA2, LAG3","P17301, P18627",Experiment,28929191,
40,Human,Stomach,UBERON_0000945,Gastric Cancer,Cancer cell,Cancer stem cell,,CD49f,ITGA6,3655,ITA6,P23229,Experiment,24015244,
41,Human,Nucleus pulposus,UBERON_0002242,Normal,Normal cell,Nucleus pulposus cell,CL_0002564,"CA12, CD24, FOXF1, KRT19, PAX1, PTN","CA12, CD24, FOXF1, KRT19, PAX1, PTN","771, 100133941, 2294, 3880, 5075, 5764","CAH12, CD24, FOXF1, K1C19, PAX1, PTN","O43570, P25063, Q12946, P08727, P15863, P21246",Experiment,24972717,
42,Human,Urine,UBERON_0001088,Normal,Normal cell,Urine-derived stem cell,,"CD105, CD146, CD34, CD45, CD73, CD90, OCT3/4, STRO-1","ENG, MCAM, CD34, PTPRC, NT5E, THY1, POU5F1, NA","2022, 4162, 947, 5788, 4907, 7070, 5460, NA","EGLN, MUC18, CD34, PTPRC, 5NTD, THY1, PO5F1, NA","P17813, P43121, P28906, P08575, P21589, P04216, Q01860, NA",Experiment,28409292,
43,Human,Pancreas,UBERON_0001264,Pancreatic Ductal Adenocarcinomas,Cancer cell,Fibroblast,CL_0000057,COL11A1,COL11A1,1301,COBA1,P12107,Experiment,24194920,
44,Human,Undefined,,Serous Ovarian Cancer,Cancer cell,Fibroblast,CL_0000057,CD90,THY1,7070,THY1,P04216,Experiment,25170899,
